province,Pezeshkian,Jalili,total
East Azerbaijan,1672193,291559,1963725
West Azerbaijan,1114000,191000,1318000
Ardabil,556134,110731,682186
Isfahan,702975,1809023,
Alborz,480282,357838,855924
Ilam,180004,84875,264879
Bushehr,219843,228081,460042
Tehran,2196357,1177863,3970220
Chaharmahal and Bakhtiari,188425,184791,
South Khorasan,166738,284262,427780
Razavi Khorasan,1080675,1696006,2836745
North Khorasan,183487,189383,
Khuzestan,714550,813201,1564413
Zanjan,296087,184777,
Semnan,110860,177577,297456
Sistan and Baluchestan,655153,300440,969162
Fars,884117,856267,1778340
Qazvin,258007,424454,492270
Qom,164905,369862,549318
Kurdistan,284095,76218,
Kerman,479249,773591,1276092
Kermanshah,477762,193870,688497
Kohgiluyeh and Boyer-Ahmad,174882,199709,379071
Golestan,416682,259348,725979
Gilan,555490,311551,882932
Lorestan,395380,362861,734730
Mazandaran,667324,601185,1297634
Markazi,228033,317776,558952
Hormozgan,306995,345274,667896
Hamadan,339387,356547,695547
Yazd,253750,255690,521236