Province,Invalid,Valid,Jalili,Pezeshkian
East Azerbaijan,15385,1963752,291559,1672193
West Azerbaijan,12577,1306261,191318,1114943
Ardabil,5321,676865,110731,566134
Isfahan,48926,1783898,1080923,702975
Alborz,17804,838120,357838,480282
Ilam,6493,264879,84875,180004
Bushehr,12138,447901,228071,219830
Tehran,93886,3970220,1773863,2196357
South Khorasan,6780,421000,284262,136738
Razavi Khorasan,57088,2776681,1696006,1080675
North Khorasan,7742,372870,189383,183487
Khuzestan,41662,1527751,813201,714550
Zanjan,7888,480864,184777,296087
Semnan,8771,288437,177577,110860
Sistan and Baluchestan,14081,954290,299651,654639
Fars,35422,1740380,856567,883813
Qazvin,9809,482461,224455,258006
Qom,13635,534767,369862,164905
Lorestan,12489,722241,362745,359496
Mazandaran,29125,1268509,601185,667324
Markazi,13143,545809,317776,228033
Hormozgan,14506,652269,345274,306995
Hamadan,15301,695934,356438,339496
Chaharmahal and Bakhtiari,5867,372537,185178,187359
Kurdistan,14203,360312,76217,284095
Kerman,23252,1252840,773591,479249
Kermanshah,16864,671632,193870,477762
Kohgiluyeh and Boyer-Ahmad,4480,374591,200063,174528
Golestan,13325,712030,295348,416682
Gilan,15883,867041,311551,555490
Yazd,11796,509440,255690,253750
Kharej,1950,86375,50206,36169